재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립년월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,
사천시 재활용선별장,직영,경상남도 사천시 환경길 55,경상남도 사천시 사등동 86-9,34.9231154,128.1181213,0,2007-07,4,잉코트 외 11개 품목,사천시(환경사업소),055-831-5606,사천시장(송도근),08:00,17:00,08:00,17:00,"토,일 제외 공휴일",,http://www.sacheon.go.kr,055-831-5606,사천시,2017-09-30,
진주시재활용품선별장,위탁,경상남도 진주시 내동면 유수길 75번길 27,,35.122300,128.014612,1750,2017-06,0,"종이류, 종이팩, 플라스틱, 유리병류, 스티로폼, 필름류 등",㈜진사재활용,055-749-5465,장위용,07:00,16:00,07:00,16:00,일요일,,,055-749-5181,경상남도 진주시청,2017-11-06,
김천시재활용선별장,위탁,경상북도 김천시 공단4길 51-11,경상북도 김천시 응명동1012-1,36.093240,128.072840,7110,2003-03,0,재활용품(29품목),김천시청,,이장기,08:00,17:00,00:00,00:00,"일요일, 공휴일",,없음,053-357-3389,해동자원,2017-04-30,
영덕군재활용선별장,직영,경상북도 영덕군 강구면 하저길 139-1,경상북도 영덕군 강구면 하저리 산103,36.415868,129.391676,600,2009-06,1,종이류외 9종,경상북도 영덕군청,054-730-6205,영덕군수,07:00,16:00,07:00,16:00,"토,일,공휴일",,,054-730-6205,경상북도 영덕군청,2017-05-23,
예천군생활자원회수센터,직영,경상북도 예천군 예천읍 원고개길 57-25,경상북도 예천군 예천읍 청복리 650,36.638635,128.462064,812,2016-10,22,플라스틱류,예천군,054-650-6175,이현준,09:00,18:00,09:00,13:00,일요일,,,054-650-6175,경상북도 예천군청,2017-01-31,
밀양시 재활용품 선별장,직영,경상남도 밀양시 무안면 신생길 53-246,경상남도 밀양시 무안면 마흘리 산229-4,35.479551,128.686726,7137,2017-02,2,"플라스틱, 병류, 캔류, 스티로폼",밀양시,055-359-5328,밀양시장,09:00,18:00,00:00,00:00,"토요일, 일요일",없음,http://www.miryang.go.kr/station/main/?sk_id=envmng,055-359-5327,밀양시청,2017-11-01,
의령군 재활용센터,위탁,경상남도 의령군 의령읍 의병로 8길 44 3층,,35.316664,128.255119,45,2017-01,1,"옷, 가방 등",자원봉사협의회,,김선옥,09:00,18:00,00:00,00:00,공휴일 미운영,,,055-570-2573,경상남도 의령군청,2017-10-22,
군위군재활용센터,직영,경상북도 군위군 군위읍 내량길 150,경상북도 군위군 군위읍 내량길 150,36.234473,128.542111,84800,2011-05,5,"생활폐기물, 종이, 고철, PET, 알루미늄",경상북도 군위군청,054-380-7991,김영만,09:00,18:00,00:00,00:00,공휴일,,,054-380-7991,경상북도 군위군청,2017-05-28,
상주시 재활용품선별장,직영,경상북도 상주시 영남제일로 1408-51,,36.423600,128.190100,991.57,2004-07,4,"가정용 스티로폼, 플라스틱, PET, 파병, 고철",상주시청,,,04:00,16:00,06:00,15:00,,,,054-537-7367,환경관리과,2017-03-31,
영천시 그린환경센터,직영,경상북도 영천시 바깥완산길 433(완산동),경상북도 영천시 완산동 9번지,35.964646,128.969853,940,2014-01,3,"캔, pet, 철, 플라스틱 등",영천시청,054-330-6519,김영석,09:00,18:00,18:00,18:00,"매주 토요일, 일요일, 공휴일",,,054-330-6519,경상북도 영천시청,2017-05-17,
청도환경관리센터,직영,경상북도 청도군 매전면 중앙로 84-460,경상북도 청도군 매전면 송원리 산194-1,35.634698,128.778506,700,2006-03,9,"종이, 신문지류, 캔류, 플라스틱류, PET류, 유리병류, 고철류, 스치로폼류 등",경상북도 청도군,054-370-6192,이승율,09:00,18:00,10:00,18:00,격주제,,,054-370-6192,경상북도 청도군,2017-05-17,
구미시 재활용품 전시·판매장,위탁,경상북도 구미시 신시로10길 118,경상북도 구미시 송정동 492-7,36.065139,128.210423,000,2008-03,1,"가전, 가구",(사)한국생활자원재활용협회구미시지회,054-455-3272,이석현,09:30,18:00,09:30,18:00,,,,054-480-5224,청소행정과,2017-12-08,
광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),광주광역시 동구 소태동 189-1,35.115246,126.936132,410,2004-02,1,"스티로폼,플라스틱,캔 외 재활용가능자원",광주광역시 동구청,062-608-8936,김성환,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-608-8936,광주광역시 동구청,2017-05-23,
용성가전에어컨,위탁,부산광역시 남구 용호로109번길3(용호동),부산광역시 남구 용호동366-8,35.122719,129.112594,66,2010-01,1,가전제품,민간운영,051-628-7704,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-11-08,
포항시재활용선별장,위탁,경상북도 포항시 남구 서원재로 45,경상북도 포항시 남구 호동 65,35.986793,129.389177,29900,2013-04,8,종이+플라스틱+캔,포항시시설관리공단,054-280-9330,김흥식,08:00,17:00,08:00,17:00,,,http://www.phsisul.org/,054-270-3194,포항시청 자원순환과,2017-05-18,
칠곡군재활용선별시설,직영,경상북도 칠곡군 왜관읍 강변대로888,,37.443781,127.111509,450,2006-04,4,"파지,압축PET,잡병,프라스틱 등",경북 칠곡군청,054-979-6745,백선기,09:00,18:00,00:00,00:00,,,,054-979-6745,경북 칠곡군청,2017-11-17,
광주광역시 남구 재활용선별장,직영,,광주광역시 남구 송암로24번가길 38-1,35.1116341,126.877924,1651.1,1993-03,5,"플라스틱, 스티로폼 등 재활용가능자원",광주광역시 남구청,062-607-4918,최영호,09:00,18:00,00:00,00:00,공휴일미운영,,,062-607-3631,광주광역시 남구청,2017-11-08,
동구자원재활용센터,위탁,대구광역시 동구 공항로31길 26(불로동),대구광역시 동구 불로동 866-9,35.903514,128.631327,3667.9,1999-07,14,"플라스틱, 캔, 유리병 등",㈜유창알앤씨,053-986-7113,성기원,08:00,17:00,08:00,12:00,"일요일, 공휴일",,,053-662-2723,대구광역시 동구청,2017-04-26,
유창알앤씨,위탁,대구광역시 서구 국채보상로 20길 25,,35.866563,128.541800,4658,2004-01,15,재활용품,서구청(민간위탁),053-663-2725,성기원,06:00,15:00,06:00,15:00,일요일 수거안함,N,www.ucrnc.co.kr,053-663-2711,대구광역시 서구청,2017-11-15,
동래구재활용센터,위탁,부산광역시 동래구 충렬대로202번길 33(수안동),부산광역시 동래구 수안동 2-13,35.201446,129.081965,231.4,1995-12,1,가구 및 가전제품,동래구재활용센터,051-554-5088,유병선,09:00,18:00,09:00,18:00,일요일,전화로 상담,해당없음,051-550-4451,동래구청 청소과,2017-05-25,
남구재활용센터,위탁,부산광역시 남구 석포로 87(대연동),부산광역시 남구 대연동 1164-7,35.125895,129.089089,99,2010-01,1,"가구, 가전제품",민간운영,051-622-8572,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-11-08,
남구재활용센터,위탁,부산광역시 남구 석포로 126번길 4(대연동),부산광역시 남구 대연동 967-1,35.128211,129.091304,132,2010-01,1,"가구, 가전제품",민간운영,051-624-7282,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-11-08,
동아재활용센터,위탁,부산광역시 남구 동명로115-1(용호동),부산광역시 남구 용호동 413-13,35.120401,129.109779,40,2010-01,1,가전제품,민간운영,051-626-1713,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-11-08,
광주광역시 서구 재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),광주광역시 서구 세하동 765,35.121389,126.826546,2880,2017-12,13,"스티로폼,플라스틱,캔 외 재활용가능자원",광주광역시 서구청,062-374-9446,정향자,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-374-9446,광주광역시 서구청,2017-11-24,
광주광역시 남구 재활용선별장,직영,광주광역시 남구 송암로24번가길 38-1,광주광역시 남구 송하동 253-9,35.1116341,126.877924,1651.1,1993-03,5,"플라스틱, 스티로폼 등 재활용가능자원",광주광역시 남구청,062-607-4918,최영호,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-607-3631,광주광역시 남구청,2017-11-24,
광주광역시 북구 재활용선별장,위탁,광주광역시 북구 삼소로 205(대촌동),광주광역시 북구 대촌동 753-1,35.2370418,126.8568262,324,1998-09,2,"스티로폼,잡병 등 재활용가능자원",성우환경㈜,,최봉주,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-410-6521,광주광역시 북구청,2017-11-24,
광주광역시 광산구 재활용선별장,위탁,광주광역시 광산구 하남산단2번로29,광주광역시 광산구 하남동 504-5,35.187732,126.798297,3327,2017-03,6,"스티로폼,플라스틱,캔 외 재활용가능자원",㈜호남환경,062-962-0099,이영숙,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-960-8465,광주광역시 광산구청,2017-11-24,
광주광역시 광산구 재활용선별장,위탁,광주광역시 광산구 북문대로420번길 158-1,광주광역시 광산구 신창동 1089-4,35.191688,126.855647,2001,2017-02,9,"스티로폼,플라스틱,캔 외 재활용가능자원",㈜희망을여는사람들,062-952-5595,최한상,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-960-8465,광주광역시 광산구청,2017-11-24,
광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),광주광역시 동구 소태동 189-1,35.115246,126.936132,410,2017-02,1,"스티로폼,플라스틱,캔 외 재활용가능자원",광주광역시 동구청,062-608-8936,김성환,09:00,18:00,00:00,00:00,공휴일 미운영,,,062-608-8936,광주광역시 동구청,2017-11-24,
강북재활용 강북가구랜드,직영,대구광역시 북구 칠곡중앙대로 188(태전동),대구광역시 북구 태전동 799-1,35.912646,128.548883,150,2007-03,1,"가전,가구",강북가구랜드,053-312-7272,박문수,09:00,19:30,00:00,00:00,공휴일,,,053-312-7272,민간,2017-05-15,
칠곡재활용,직영,대구광역시 북구 칠곡중앙대로 289(태전동),대구광역시 북구 태전동 151-1,35.921581,128.546263,154,2007-01,1,"가전,가구",칠곡재활용,053-312-8787,임봉신,09:00,20:00,00:00,00:00,공휴일,가능,,053-312-8787,민간,2017-05-15,
서구재활용센타,직영,부산광역시 서구 대영로 106번길,부산광역시 서구 동대신동1가 59-9,35.111543,129.022681,50,2002-11,1,가구 가전,서구재활용센타,051-241-1555,김일봉,09:00,18:00,09:00,18:00,,,,051-240-4452,부산광역시 서구청,2017-04-13,
아름다운가게,직영,대구광역시 북구 동천로23길 36(동천동),대구광역시 북구 동천동 955-7,35.942660,128.556561,264,2005-01,1,"중고의류,잡화, 도서, 소형가전",아름다운가게,053-314-1008,홍영희,10:30,18:00,00:00,00:00,공휴일,,,053-314-1008,비영리 재단법인,2017-05-15,
LG냉동 강북재활용,직영,대구광역시 북구 관음중앙로 93-1(관음동),대구광역시 북구 관음동 1268-15,35.942318,128.544566,125.4,2005-01,1,가전,LG냉동 강북재활용,053-322-7175,임동열,09:30,19:30,00:00,00:00,공휴일,6개월 보증,,053-322-7175,민간,2017-05-15,
관음재활용,직영,대구광역시 북구 칠곡중앙대로99길 45(관음동),대구광역시 북구 관음동 1338,35.941251,128.545390,82.5,2003-01,1,가전,관음재활용,053-326-8906,김병희,09:00,20:00,00:00,00:00,공휴일,6개월 보증,,053-326-8906,민간,2017-05-15,
남구재활용센터,위탁,부산광역시 남구 석포로 87(대연동),부산광역시 남구 대연동 1164-7,35.125895,129.089089,99,2010-01,1,"가구, 가전제품",민간운영,051-622-8572,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-04-21,
남구재활용센터,위탁,부산광역시 남구 석포로 126번길 4(대연동),부산광역시 남구 대연동 967-1,35.128211,129.091304,132,2010-01,1,"가구, 가전제품",민간운영,051-624-7282,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-04-21,
동아재활용센터,위탁,부산광역시 남구 동명로115-1(용호동),부산광역시 남구 용호동 413-13,35.120401,129.109779,40,2010-01,1,가전제품,민간운영,051-626-1713,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-04-21,
용성가전에어컨,위탁,부산광역시 남구 용호로109번길3(용호동),부산광역시 남구 용호동 366-8,35.122719,129.112594,66,2010-01,1,가전제품,민간운영,051-628-7704,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-04-21,
